;;;;;;;;;;;;;;;;;;
Processo;Cidade;Estado;Tipo;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0101708-14.2016.5.01.0056;Rio de Janeiro;RJ;Apartamento;RUA OLIMPIO DE CASTRO, Nº 931, APTO 402, BLOCO II - JARDIM SULACAP;R$ 240.000,00;50%;14/04/2026;28/04/2026;R$ 120.000,00;R$ 3.600,00;R$ 6.000,00;R$ 6.000,00;R$ 6.000,00;R$ 141.600,00;R$ 98.400,00;69,49%;50;VERMELHO
0010199-94.2024.5.03.0046;Jequitinhonha;MG;Imóvel Rural;Zona Rural do município de Jequitinhonha/MG;R$ 220.000,00;50%;09/06/2026;09/06/2026;R$ 110.000,00;R$ 3.300,00;R$ 5.500,00;R$ 5.500,00;R$ 5.500,00;R$ 129.800,00;R$ 90.200,00;69,49%;85;VERDE
0000222-02.2025.8.16.0056;Cambé;PR;Terreno com casas;Rua Rio São Francisco, nº76, Jardim Santo Amaro;R$ 204.989,91;60%;16/03/2026;05/05/2026;R$ 122.993,95;R$ 3.689,82;R$ 6.149,70;R$ 6.149,70;R$ 6.149,70;R$ 145.132,86;R$ 59.857,05;41,24%;80;VERDE
0001217-64.2020.8.26.0168;Uberlândia;MG;Terreno;Avenida Alexi Abrahão, Lote 05, Quadra 06, Bairro Nova Uberlândia;R$ 203.017,21;60%;01/04/2026;23/04/2026;R$ 121.810,33;R$ 3.654,31;R$ 6.090,52;R$ 6.090,52;R$ 6.090,52;R$ 143.736,18;R$ 59.281,03;41,24%;75;AMARELO
0043812-68.2019.8.16.0014;Londrina;PR;Loja Comercial;Rua Pará, n°1.122, Condomínio Comercial Ouro Verde, Londrina, PR;R$ 202.100,00;50%;03/08/2024;06/05/2026;R$ 101.050,00;R$ 3.031,50;R$ 5.052,50;R$ 5.052,50;R$ 5.052,50;R$ 119.239,00;R$ 82.861,00;69,49%;75;AMARELO
5004469-42.2022.8.13.0439;Muriaé;MG;Casa residencial;Rua Flavio Siqueira, nº 23, bairro Planalto;R$ 200.000,00;75%;23/03/2026;24/08/2026;R$ 150.000,00;R$ 4.500,00;R$ 7.500,00;R$ 7.500,00;R$ 7.500,00;R$ 177.000,00;R$ 23.000,00;12,99%;65;AMARELO
5007242-27.2023.8.13.0471;Divinópolis;MG;Veículo;Rua do Servidor Municipal, 300, Bom Pastor;R$ 200.000,00;50%;04/05/2026;25/05/2026;R$ 100.000,00;R$ 3.000,00;R$ 5.000,00;R$ 5.000,00;R$ 5.000,00;R$ 118.000,00;R$ 82.000,00;69,49%;37;VERMELHO
0000273-88.2021.5.06.0312;CARUARU;PE;Casa;Rua Antônio Martins, bairro Vassoural, Caruaru/PE;R$ 187.026,80;60%;17/03/2026;13/07/2026;R$ 112.216,08;R$ 3.366,48;R$ 5.610,80;R$ 5.610,80;R$ 5.610,80;R$ 132.414,97;R$ 54.611,83;41,24%;65;AMARELO
0004008-16.2011.8.26.0396;Novo Horizonte;SP;Casa;Rua João Garcia Belmonte, Unidade 441, Conjunto Habitacional Jardim Canaã;R$ 161.936,53;60%;08/04/2026;30/04/2026;R$ 97.161,92;R$ 2.914,86;R$ 4.858,10;R$ 4.858,10;R$ 4.858,10;R$ 114.651,06;R$ 47.285,47;41,24%;35;VERMELHO
0002099-64.2014.8.13.0405;Abaeté;MG;Casa;Rua 01, Povoado Paredão, Abaeté/MG;R$ 158.069,99;50%;23/03/2026;24/08/2026;R$ 79.035,00;R$ 2.371,05;R$ 3.951,75;R$ 3.951,75;R$ 3.951,75;R$ 93.261,29;R$ 64.808,70;69,49%;70;AMARELO
1500593-04.2018.8.26.0396;Novo Horizonte;SP;Casa em terreno;Rua João Mansur, lote 03, quadra 10, Parque Residencial Popular;R$ 152.605,94;60%;08/04/2026;30/04/2026;R$ 91.563,56;R$ 2.746,91;R$ 4.578,18;R$ 4.578,18;R$ 4.578,18;R$ 108.045,01;R$ 44.560,93;41,24%;80;VERDE
0100409-28.2021.5.01.0411;Rio de Janeiro;RJ;Veículo;RUA HUGO PANASCO ALVIM, 370, MOTTA MAIA, RECREIO DOS BANDEIRANTES, RIO DE JANEIRO/RJ - CEP: 22795-3060;R$ 150.000,00;50%;18/05/2026;26/05/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;R$ 61.500,00;69,49%;80;VERDE
0100409-28.2021.5.01.0411;Rio de Janeiro;RJ;Veículo;RUA HUGO PANASCO ALVIM, 370, MOTTA MAIA, RECREIO DOS BANDEIRANTES, RIO DE JANEIRO/RJ - CEP: 22795-3060;R$ 150.000,00;50%;18/05/2026;26/05/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;R$ 61.500,00;69,49%;65;AMARELO
0100409-28.2021.5.01.0411;Rio de Janeiro;RJ;Veículo;RUA HUGO PANASCO ALVIM, 370, MOTTA MAIA, RECREIO DOS BANDEIRANTES, RIO DE JANEIRO/RJ - CEP: 22795-3060;R$ 150.000,00;50%;18/05/2026;26/05/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;R$ 61.500,00;69,49%;35;VERMELHO
0100409-28.2021.5.01.0411;Rio de Janeiro;RJ;Veículo;RUA HUGO PANASCO ALVIM, 370, MOTTA MAIA, RECREIO DOS BANDEIRANTES;R$ 150.000,00;50%;18/05/2026;26/05/2026;R$ 75.000,00;R$ 2.250,00;R$ 3.750,00;R$ 3.750,00;R$ 3.750,00;R$ 88.500,00;R$ 61.500,00;69,49%;70;AMARELO
0001360-09.2022.8.16.0056;Cambé;PR;Terreno;Esquina da Rua Oceano Pacífico com a Rua Vereador Eduardo Rodrigues;R$ 139.731,17;60%;16/03/2026;05/05/2026;R$ 83.838,70;R$ 2.515,16;R$ 4.191,94;R$ 4.191,94;R$ 4.191,94;R$ 98.929,67;R$ 40.801,50;41,24%;95;VERDE
0000141-43.2024.5.06.0371;AFOGADOS DA INGAZEIRA;PE;Veículo;AV MANOEL VIRGÍNIO SOBRINHO, Padre Pedro Pereira;R$ 124.200,00;50%;16/03/2026;13/07/2026;R$ 62.100,00;R$ 1.863,00;R$ 3.105,00;R$ 3.105,00;R$ 3.105,00;R$ 73.278,00;R$ 50.922,00;69,49%;90;VERDE
0000141-43.2024.5.06.0371;AFOGADOS DA INGAZEIRA;PE;Veículo;AV MANOEL VIRGÍNIO SOBRINHO, PADRE PEDRO PEREIRA;R$ 124.200,00;50%;13/07/2026;13/07/2026;R$ 62.100,00;R$ 1.863,00;R$ 3.105,00;R$ 3.105,00;R$ 3.105,00;R$ 73.278,00;R$ 50.922,00;69,49%;65;AMARELO
