Processo;Cidade;Estado;Tipo;Metragem;Endereço;Avaliação;% Leilão;Data Início;Data Fim;Arremate;ITBI (3%);Cartório (5%);Leiloeiro (5%);Honorários (5%);Custos;Lucro;ROI;Score;Status
0181600-97.1999.5.01.0013;Petrópolis;RJ;Casa;0,00 m²;Rua Alberto Augusto Costa, nº 100, Condomínio Parque dos Eucaliptos, Sítio Sete Sinos, Itaipava, Petrópolis/RJ;R$ 3.200.000,00;50%;05/05/2026;12/05/2026;R$ 1.600.000,00;R$ 48.000,00;R$ 80.000,00;R$ 80.000,00;R$ 80.000,00;R$ 1.888.000,00;131200000,00%;70;AMARELO;
0181600-97.1999.5.01.0013;Petrópolis;RJ;Casa;0,00 m²;Condomínio Parque dos Eucaliptos, Rua Alberto Augusto Costa, nº 100, Sítio Sete Sinos, Itaipava, Petrópolis/RJ;R$ 3.200.000,00;50%;05/05/2026;12/05/2026;R$ 1.600.000,00;R$ 48.000,00;R$ 80.000,00;R$ 80.000,00;R$ 80.000,00;R$ 1.888.000,00;131200000,00%;50;VERMELHO;
1079388-33.2017.8.26.0100;DIADEMA;SP;Terreno;5.000,00 m²;Av. Alberto Jafet, abrangendo, aproximadamente nos nºs 473 ao 515, Bairro da Vila Nogueira, Diadema/SP;R$ 3.115.000,00;50%;08/06/2026;23/07/2026;R$ 1.557.500,00;R$ 46.725,00;R$ 77.875,00;R$ 77.875,00;R$ 77.875,00;R$ 1.837.850,00;127715000,00%;20;VERMELHO;
1071548-40.2015.8.26.0100;São Paulo;SP;Carteira de Créditos Consignados;0,00 m²;N/D;R$ 3.000.000,00;100%;15/05/2026;15/05/2026;R$ 3.000.000,00;R$ 90.000,00;R$ 150.000,00;R$ 150.000,00;R$ 150.000,00;R$ 3.540.000,00;-54000000,00%;45;VERMELHO;
0000449-16.2025.5.08.0104;BREVES;PA;Prédio Misto;500,04 m²;N/D;R$ 2.973.100,44;50%;22/05/2026;22/05/2026;R$ 1.486.550,22;R$ 44.596,51;R$ 74.327,51;R$ 74.327,51;R$ 74.327,51;R$ 1.754.129,26;121897118,04%;70;AMARELO;
0040568-44.2016.8.13.0395;Martins Soares;MG;Imóvel rural;55.342,00 m²;Vilarejo do Córrego do Espraiado, nº 0, Zona rural de Martins Soares/MG;R$ 2.500.000,00;50%;14/04/2026;28/05/2026;R$ 1.250.000,00;R$ 37.500,00;R$ 62.500,00;R$ 62.500,00;R$ 62.500,00;R$ 1.475.000,00;102500000,00%;55;VERMELHO;
1001327-93.2019.5.02.0202;Santana de Parnaíba;SP;Casa;253,56 m²;Alameda dos Cravos, 921 - Morada das Flores - Aldeia da Serra - Santana de Parnaíba/SP;R$ 2.300.000,00;50%;16/07/2026;16/07/2026;R$ 1.150.000,00;R$ 34.500,00;R$ 57.500,00;R$ 57.500,00;R$ 57.500,00;R$ 1.357.000,00;94300000,00%;45;VERMELHO;
0000506-25.2022.5.23.0006;Cuiabá;MT;Terreno;3.697,29 m²;RUA TENENTE CORONEL THOGO DA SILVA PEREIRA, N. 906, BAIRRO GOIABEIRA, CUIABÁ/MT, CEP: 78020-500;R$ 2.218.374,00;60%;28/05/2026;11/06/2026;R$ 1.331.024,40;R$ 39.930,73;R$ 66.551,22;R$ 66.551,22;R$ 66.551,22;R$ 1.570.608,79;64776520,80%;10;VERMELHO;
5000527-02.2025.8.13.0696;Tupaciguara;MG;Imóvel Rural;31,50 m²;Fazenda São José do Paranaíba, Martins, próximo ao Povoado do Brilhante, Tupaciguara;R$ 2.108.263,47;70%;03/06/2026;03/06/2026;R$ 1.475.784,43;R$ 44.273,53;R$ 73.789,22;R$ 73.789,22;R$ 73.789,22;R$ 1.741.425,63;36683784,38%;40;VERMELHO;
5079230-67.2018.8.13.0024;São João Del Rei;MG;Terreno rural;585.636,00 m²;Fazenda Nossa Senhora Aparecida, Distrito de Emboabas, São João Del Rei;R$ 2.100.000,00;50%;17/04/2026;10/12/2026;R$ 1.050.000,00;R$ 31.500,00;R$ 52.500,00;R$ 52.500,00;R$ 52.500,00;R$ 1.239.000,00;86100000,00%;75;AMARELO;
